
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Registry                        92 Services                   0     97,496 K
smss.exe                       340 Services                   0        952 K
csrss.exe                      440 Services                   0      5,320 K
wininit.exe                    516 Services                   0      6,088 K
csrss.exe                      524 Console                    1      5,180 K
winlogon.exe                   580 Console                    1     10,040 K
services.exe                   648 Services                   0      8,664 K
lsass.exe                      668 Services                   0     18,664 K
svchost.exe                    780 Services                   0     33,172 K
fontdrvhost.exe                788 Console                    1      4,800 K
fontdrvhost.exe                796 Services                   0      2,896 K
svchost.exe                    904 Services                   0     15,700 K
svchost.exe                    952 Services                   0      9,884 K
svchost.exe                   1012 Services                   0      6,872 K
dwm.exe                        372 Console                    1     79,952 K
svchost.exe                    508 Services                   0      5,884 K
svchost.exe                   1136 Services                   0      6,664 K
svchost.exe                   1208 Services                   0      9,652 K
svchost.exe                   1224 Services                   0     11,512 K
svchost.exe                   1324 Services                   0     14,836 K
svchost.exe                   1356 Services                   0     14,296 K
svchost.exe                   1368 Services                   0     13,424 K
svchost.exe                   1452 Services                   0     14,104 K
svchost.exe                   1540 Services                   0      8,308 K
svchost.exe                   1624 Services                   0      7,344 K
VBoxService.exe               1636 Services                   0      6,824 K
svchost.exe                   1712 Services                   0      7,132 K
svchost.exe                   1728 Services                   0     67,056 K
svchost.exe                   1752 Services                   0      5,928 K
svchost.exe                   1836 Services                   0     11,796 K
svchost.exe                   1848 Services                   0      7,852 K
Memory Compression            1856 Services                   0     97,444 K
svchost.exe                   1896 Services                   0      7,240 K
svchost.exe                   1936 Services                   0      9,800 K
svchost.exe                   1984 Services                   0     12,168 K
svchost.exe                   2032 Services                   0      8,260 K
svchost.exe                   1096 Services                   0     10,216 K
svchost.exe                   1084 Services                   0      8,708 K
svchost.exe                   2072 Services                   0     12,028 K
svchost.exe                   2080 Services                   0     16,532 K
spoolsv.exe                   2212 Services                   0     12,012 K
svchost.exe                   2232 Services                   0      7,356 K
svchost.exe                   2244 Services                   0     18,572 K
svchost.exe                   2296 Services                   0      7,544 K
svchost.exe                   2448 Services                   0     12,584 K
svchost.exe                   2460 Services                   0     39,932 K
svchost.exe                   2476 Services                   0     30,492 K
svchost.exe                   2500 Services                   0     16,420 K
MpDefenderCoreService.exe     2536 Services                   0     17,740 K
svchost.exe                   2604 Services                   0      8,560 K
svchost.exe                   2644 Services                   0      6,120 K
svchost.exe                   2660 Services                   0      5,460 K
MsMpEng.exe                   2696 Services                   0    186,892 K
svchost.exe                   2716 Services                   0     22,260 K
svchost.exe                   2784 Services                   0      5,312 K
svchost.exe                   2808 Services                   0     10,472 K
svchost.exe                   3004 Services                   0     11,384 K
svchost.exe                    760 Services                   0     10,436 K
dllhost.exe                   3284 Services                   0     10,632 K
SearchIndexer.exe             3404 Services                   0     40,200 K
AggregatorHost.exe            3964 Services                   0      8,396 K
svchost.exe                   3240 Services                   0      8,128 K
sihost.exe                    3892 Console                    1     27,464 K
svchost.exe                   4024 Console                    1     26,708 K
svchost.exe                   4000 Console                    1     33,392 K
svchost.exe                   3128 Services                   0     19,992 K
MicrosoftEdgeUpdate.exe       3332 Services                   0      4,224 K
taskhostw.exe                 3708 Console                    1     18,348 K
svchost.exe                   4232 Services                   0      7,764 K
ctfmon.exe                    4264 Console                    1     19,468 K
explorer.exe                  4364 Console                    1    168,640 K
svchost.exe                   4556 Services                   0      8,348 K
svchost.exe                   4564 Services                   0     16,360 K
svchost.exe                   4612 Services                   0      5,944 K
svchost.exe                   4152 Services                   0      9,072 K
NisSrv.exe                    5204 Services                   0     10,932 K
svchost.exe                   5308 Services                   0     14,696 K
svchost.exe                   5392 Console                    1     20,944 K
StartMenuExperienceHost.e     5652 Console                    1     51,644 K
RuntimeBroker.exe             5764 Console                    1     26,248 K
svchost.exe                   5780 Services                   0     16,496 K
svchost.exe                   6012 Console                    1     23,480 K
SearchApp.exe                 2688 Console                    1    231,604 K
RuntimeBroker.exe             4660 Console                    1     41,744 K
RuntimeBroker.exe             6952 Console                    1     26,208 K
