
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        136 K
Registry                        92 Services                   0     63,792 K
smss.exe                       340 Services                   0        236 K
csrss.exe                      440 Services                   0      1,184 K
wininit.exe                    516 Services                   0          N/A
csrss.exe                      524 Console                    1      1,668 K
winlogon.exe                   580 Console                    1      1,292 K
services.exe                   648 Services                   0      5,048 K
lsass.exe                      668 Services                   0     12,568 K
svchost.exe                    780 Services                   0     18,268 K
fontdrvhost.exe                788 Console                    1        968 K
fontdrvhost.exe                796 Services                   0        128 K
svchost.exe                    904 Services                   0     10,828 K
svchost.exe                    952 Services                   0      2,244 K
svchost.exe                   1012 Services                   0      1,788 K
dwm.exe                        372 Console                    1     77,740 K
svchost.exe                    508 Services                   0      1,716 K
svchost.exe                   1136 Services                   0        892 K
svchost.exe                   1208 Services                   0      2,276 K
svchost.exe                   1224 Services                   0      2,072 K
svchost.exe                   1324 Services                   0      6,700 K
svchost.exe                   1356 Services                   0      9,236 K
svchost.exe                   1368 Services                   0      1,456 K
svchost.exe                   1452 Services                   0      4,784 K
svchost.exe                   1540 Services                   0      2,448 K
svchost.exe                   1624 Services                   0      1,792 K
VBoxService.exe               1636 Services                   0      2,920 K
svchost.exe                   1712 Services                   0        944 K
svchost.exe                   1728 Services                   0     53,544 K
svchost.exe                   1752 Services                   0      1,144 K
svchost.exe                   1836 Services                   0      3,212 K
svchost.exe                   1848 Services                   0        232 K
Memory Compression            1856 Services                   0     33,028 K
svchost.exe                   1896 Services                   0        992 K
svchost.exe                   1936 Services                   0      4,288 K
svchost.exe                   1984 Services                   0      2,120 K
svchost.exe                   2032 Services                   0      3,376 K
svchost.exe                   1096 Services                   0      2,404 K
svchost.exe                   1084 Services                   0        432 K
svchost.exe                   2072 Services                   0      1,372 K
svchost.exe                   2080 Services                   0     11,376 K
spoolsv.exe                   2212 Services                   0        508 K
svchost.exe                   2232 Services                   0      3,200 K
svchost.exe                   2244 Services                   0      5,236 K
svchost.exe                   2296 Services                   0      2,144 K
svchost.exe                   2448 Services                   0      4,560 K
svchost.exe                   2460 Services                   0     15,188 K
svchost.exe                   2476 Services                   0     19,780 K
svchost.exe                   2500 Services                   0      9,060 K
MpDefenderCoreService.exe     2536 Services                   0      8,440 K
svchost.exe                   2604 Services                   0      3,124 K
svchost.exe                   2644 Services                   0      1,184 K
svchost.exe                   2660 Services                   0        840 K
MsMpEng.exe                   2696 Services                   0    104,620 K
svchost.exe                   2716 Services                   0      5,212 K
svchost.exe                   2784 Services                   0      1,116 K
svchost.exe                   2808 Services                   0      2,020 K
svchost.exe                   3004 Services                   0      1,804 K
svchost.exe                    760 Services                   0      1,892 K
dllhost.exe                   3284 Services                   0      3,188 K
SearchIndexer.exe             3404 Services                   0     18,724 K
AggregatorHost.exe            3964 Services                   0      4,436 K
svchost.exe                   3240 Services                   0      1,112 K
sihost.exe                    3892 Console                    1     15,208 K
svchost.exe                   4024 Console                    1     17,780 K
svchost.exe                   4000 Console                    1     12,520 K
svchost.exe                   3128 Services                   0     14,012 K
MicrosoftEdgeUpdate.exe       3332 Services                   0        360 K
taskhostw.exe                 3708 Console                    1      6,800 K
svchost.exe                   4232 Services                   0        920 K
ctfmon.exe                    4264 Console                    1      9,720 K
explorer.exe                  4364 Console                    1    104,908 K
svchost.exe                   4556 Services                   0      1,152 K
svchost.exe                   4564 Services                   0      2,668 K
svchost.exe                   4612 Services                   0      1,652 K
svchost.exe                   4152 Services                   0      1,168 K
NisSrv.exe                    5204 Services                   0      2,476 K
svchost.exe                   5308 Services                   0      6,176 K
svchost.exe                   5392 Console                    1     14,324 K
StartMenuExperienceHost.e     5652 Console                    1     17,644 K
RuntimeBroker.exe             5764 Console                    1      2,248 K
svchost.exe                   5780 Services                   0      2,256 K
svchost.exe                   6012 Console                    1     10,980 K
SearchApp.exe                 2688 Console                    1    217,324 K
RuntimeBroker.exe             4660 Console                    1     26,568 K
RuntimeBroker.exe             6952 Console                    1     16,960 K
svchost.exe                   6652 Services                   0      4,224 K
