
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Registry                        92 Services                   0     62,764 K
smss.exe                       340 Services                   0        952 K
csrss.exe                      440 Services                   0      4,332 K
wininit.exe                    516 Services                   0      3,040 K
csrss.exe                      524 Console                    1      3,952 K
winlogon.exe                   580 Console                    1      5,576 K
services.exe                   648 Services                   0      7,204 K
lsass.exe                      668 Services                   0     14,472 K
svchost.exe                    780 Services                   0     32,996 K
fontdrvhost.exe                788 Console                    1      5,024 K
fontdrvhost.exe                796 Services                   0      2,864 K
svchost.exe                    904 Services                   0     15,964 K
svchost.exe                    952 Services                   0      9,808 K
svchost.exe                   1012 Services                   0      4,816 K
dwm.exe                        372 Console                    1     82,000 K
svchost.exe                    508 Services                   0      5,896 K
svchost.exe                   1136 Services                   0      6,528 K
svchost.exe                   1208 Services                   0      9,476 K
svchost.exe                   1224 Services                   0     11,500 K
svchost.exe                   1324 Services                   0     15,344 K
svchost.exe                   1356 Services                   0     14,404 K
svchost.exe                   1368 Services                   0     13,352 K
svchost.exe                   1452 Services                   0     10,428 K
svchost.exe                   1540 Services                   0      6,820 K
svchost.exe                   1624 Services                   0      7,120 K
VBoxService.exe               1636 Services                   0      6,656 K
svchost.exe                   1712 Services                   0      6,896 K
svchost.exe                   1728 Services                   0     65,280 K
svchost.exe                   1752 Services                   0      5,948 K
svchost.exe                   1836 Services                   0     10,824 K
svchost.exe                   1848 Services                   0      7,492 K
Memory Compression            1856 Services                   0     28,572 K
svchost.exe                   1896 Services                   0      7,236 K
svchost.exe                   1936 Services                   0      9,564 K
svchost.exe                   1984 Services                   0     11,700 K
svchost.exe                   2032 Services                   0      7,828 K
svchost.exe                   1096 Services                   0     10,116 K
svchost.exe                   1084 Services                   0      8,460 K
svchost.exe                   2072 Services                   0     11,760 K
svchost.exe                   2080 Services                   0     16,720 K
spoolsv.exe                   2212 Services                   0     10,868 K
svchost.exe                   2232 Services                   0      7,400 K
svchost.exe                   2244 Services                   0     13,468 K
svchost.exe                   2296 Services                   0      7,556 K
svchost.exe                   2448 Services                   0     13,344 K
svchost.exe                   2460 Services                   0     20,868 K
svchost.exe                   2476 Services                   0     22,232 K
svchost.exe                   2500 Services                   0     16,952 K
MpDefenderCoreService.exe     2536 Services                   0     17,168 K
svchost.exe                   2604 Services                   0      8,488 K
svchost.exe                   2644 Services                   0      6,120 K
svchost.exe                   2660 Services                   0      5,464 K
MsMpEng.exe                   2696 Services                   0    164,048 K
svchost.exe                   2716 Services                   0     22,156 K
svchost.exe                   2784 Services                   0      5,312 K
svchost.exe                   2808 Services                   0      9,360 K
svchost.exe                   3004 Services                   0     10,560 K
svchost.exe                    760 Services                   0     10,264 K
dllhost.exe                   3284 Services                   0     10,320 K
SearchIndexer.exe             3404 Services                   0     23,188 K
AggregatorHost.exe            3964 Services                   0      7,836 K
svchost.exe                   3240 Services                   0      7,560 K
sihost.exe                    3892 Console                    1     27,340 K
svchost.exe                   4024 Console                    1     19,876 K
svchost.exe                   4000 Console                    1     16,076 K
svchost.exe                   3128 Services                   0     16,124 K
MicrosoftEdgeUpdate.exe       3332 Services                   0      4,216 K
taskhostw.exe                 3708 Console                    1     18,448 K
svchost.exe                   4232 Services                   0      7,592 K
ctfmon.exe                    4264 Console                    1     19,852 K
explorer.exe                  4364 Console                    1    136,444 K
svchost.exe                   4556 Services                   0      8,324 K
svchost.exe                   4564 Services                   0     15,668 K
svchost.exe                   4612 Services                   0      3,948 K
svchost.exe                   4152 Services                   0      8,744 K
NisSrv.exe                    5204 Services                   0     10,228 K
svchost.exe                   5308 Services                   0     14,032 K
svchost.exe                   5392 Console                    1     22,632 K
StartMenuExperienceHost.e     5652 Console                    1     33,252 K
RuntimeBroker.exe             5764 Console                    1      8,184 K
svchost.exe                   5780 Services                   0     16,728 K
svchost.exe                   6012 Console                    1     21,660 K
SearchApp.exe                 2688 Console                    1     81,716 K
RuntimeBroker.exe             4660 Console                    1     42,128 K
RuntimeBroker.exe             6952 Console                    1     26,576 K
